case_id,repository,revision,operator,workflow_kind,oracle_kind,result_source,evaluated,outcome,semantic_status
B01-01,snu-causality-lab/efficient-canonical-bounding,098ee1f4f7ce2232470c6d6a1998fb7cd8a3fd46,dependency-pin,upstream-test,,primary,True,survived,confirmed-non-equivalent
B01-02,scikit-learn-contrib/imbalanced-learn,8504e95f0160f61d1b617ca66f779646d2ee609e,data-split,documented-example,,D027,True,survived,confirmed-non-equivalent
B01-03,scikit-learn-contrib/MAPIE,4105fc5ce81359b6ea276c8bb09a8cabdfae7b30,random-seed,documented-example,,primary,True,survived,confirmed-non-equivalent
B01-04,wwu-mmll/photonai,494eb768d7725b4fcb059081a0cf4b2e8e138a3f,cv-fold-count,documented-example,,primary,True,survived,confirmed-non-equivalent
B01-05,damianhorna/multi-imbalance,e2535f5f7f8e1f4d51f8ffe53a775e92056162a8,data-split,upstream-test,,primary,True,survived,confirmed-non-equivalent
B01-06,KoheiObata/DMM,3e2c421f5d45d3ce05b673dc473c855d80bf2da7,dependency-pin,documented-experiment,,none,False,,not-run
B01-07,sigeisler/robustness_of_gnns_at_scale,d28a9a20794d221bb25657db2c7caa2b53d1032f,dependency-pin,upstream-test,,none,False,,not-run
B01-08,ContextLab/hypertools,647ce929fb0fcc39dfbe17d73282ee54dbe4aaf6,random-seed,documented-example,,primary,True,survived,confirmed-non-equivalent
B01-09,sherbold/autorank,10b65d3764e5ba9e464d3ee7866bf51ac513c8e8,random-seed,documented-example,,primary,True,survived,confirmed-non-equivalent
B01-10,BorgwardtLab/P-WL,bb516c332bbbd113fb0a241539fd9b66267d65cf,cv-fold-count,documented-experiment,,primary,True,survived,confirmed-non-equivalent
B02-01,tslearn-team/tslearn,46586963d332c908ca4a4dc9457e231bb275e703,random-seed,documented-example,completion-only,primary,True,survived,confirmed-non-equivalent
B02-02,tensorly/tensorly,acc439e9f9662c2b10ccdb53e5e88a0a40090525,random-seed,documented-example,completion-only,primary,True,survived,confirmed-non-equivalent
B02-03,braindecode/braindecode,eb3ddee6b72b07ff7457f9273cff179400b925c5,random-seed,documented-example,completion-only,D027,True,survived,confirmed-non-equivalent
B02-04,rtqichen/torchdiffeq,657943acefa826ef04c025ebeb1ff5e9d60dc268,random-seed,documented-example,completion-only,primary,True,survived,confirmed-non-equivalent
B02-05,EthanJamesLew/AutoKoopman,3808e0f061983388e69df06cc5ceda097773603f,random-seed,documented-experiment,completion-only,none,False,,not-run
B02-06,DistrictDataLabs/yellowbrick,f7a8e950bd31452ea2f5d402a1c5d519cd163fd5,random-seed,upstream-test,assertion,none,False,,not-run
